TipoMaturità,VotoDiploma,CFU1,AnniFuoriCorso
5.0,95.0,36,1.0
11.0,88.0,42,1.0
11.0,100.0,60,0.0
11.0,100.0,60,0.0
11.0,99.0,54,0.0
11.0,94.0,54,0.0
11.0,81.0,54,1.0
11.0,85.0,54,1.0
11.0,82.0,54,0.0
11.0,87.0,54,1.0
11.0,82.0,54,0.0
11.0,80.0,12,1.0
5.0,100.0,54,1.0
13.0,77.0,36,1.0
11.0,87.0,54,1.0
11.0,96.0,54,1.0
11.0,100.0,60,0.0
11.0,78.0,54,1.0
6.0,94.0,42,1.0
11.0,100.0,54,0.0
11.0,80.0,12,1.0
11.0,100.0,54,0.0
5.0,91.0,12,1.0
11.0,90.0,54,1.0
11.0,98.0,48,1.0
11.0,100.0,54,0.0
11.0,85.0,54,1.0
13.0,90.0,42,1.0
11.0,90.0,54,1.0
11.0,80.0,54,0.0
11.0,78.0,54,0.0
11.0,92.0,54,1.0
11.0,98.0,54,0.0
5.0,100.0,60,0.0
11.0,89.0,33,1.0
11.0,86.0,15,1.0
11.0,93.0,54,1.0
11.0,80.0,9,1.0
2.0,93.0,6,1.0
7.0,86.0,54,1.0
5.0,81.0,33,1.0
11.0,91.0,36,1.0
11.0,91.0,48,1.0
11.0,73.0,36,1.0
11.0,97.0,54,1.0
11.0,94.0,60,0.0
13.0,71.0,6,1.0
13.0,86.0,42,1.0
7.0,95.0,33,1.0
11.0,70.0,54,0.0
11.0,66.0,42,1.0
5.0,95.0,24,1.0
11.0,80.0,36,1.0
8.0,90.0,54,0.0
11.0,78.0,33,1.0
11.0,82.0,54,1.0
11.0,96.0,60,0.0
7.0,100.0,54,1.0
11.0,80.0,30,1.0
7.0,82.0,54,0.0
11.0,93.0,54,1.0
8.0,80.0,36,1.0
11.0,86.0,54,0.0
11.0,90.0,15,1.0
11.0,93.0,9,1.0
11.0,100.0,60,0.0
5.0,95.0,48,0.0
11.0,100.0,48,0.0
5.0,86.0,9,1.0
11.0,76.0,42,1.0
7.0,92.0,48,1.0
11.0,83.0,54,1.0
11.0,85.0,15,1.0
11.0,88.0,42,1.0
5.0,90.0,60,0.0
11.0,73.0,54,1.0
5.0,85.0,48,0.0
11.0,82.0,54,0.0
11.0,78.0,33,1.0
11.0,87.0,33,1.0
11.0,97.0,48,1.0
11.0,78.0,54,0.0
11.0,100.0,60,0.0
11.0,71.0,42,1.0
11.0,100.0,60,0.0
5.0,96.0,60,0.0
13.0,74.0,60,0.0
5.0,100.0,60,0.0
13.0,99.0,18,1.0
11.0,100.0,60,0.0
11.0,92.0,60,0.0
11.0,95.0,60,0.0
11.0,96.0,60,0.0
11.0,100.0,60,0.0
11.0,96.0,60,0.0
13.0,80.0,42,1.0
11.0,100.0,54,0.0
11.0,91.0,54,1.0
11.0,72.0,42,1.0
6.0,77.0,30,0.0
11.0,97.0,54,0.0
13.0,100.0,60,0.0
11.0,100.0,60,0.0
11.0,93.0,54,0.0
7.0,88.0,60,0.0
11.0,92.0,54,0.0
11.0,100.0,54,1.0
11.0,83.0,54,0.0
5.0,100.0,54,0.0
11.0,87.0,54,0.0
11.0,88.0,60,0.0
11.0,75.0,42,1.0
13.0,96.0,60,0.0
11.0,89.0,54,0.0
11.0,60.0,6,1.0
11.0,86.0,33,1.0
11.0,82.0,54,0.0
11.0,78.0,42,1.0
11.0,86.0,54,0.0
2.0,90.0,54,1.0
11.0,100.0,60,0.0
11.0,100.0,60,0.0
11.0,97.0,54,0.0
11.0,89.0,60,0.0
13.0,80.0,15,1.0
11.0,82.0,42,0.0
8.0,83.0,28,1.0
13.0,100.0,60,0.0
11.0,94.0,60,0.0
11.0,77.0,48,1.0
11.0,94.0,54,0.0
11.0,95.0,60,0.0
11.0,100.0,60,0.0
11.0,88.0,60,0.0
11.0,100.0,60,0.0
11.0,71.0,54,0.0
11.0,91.0,54,0.0
11.0,85.0,42,1.0
11.0,93.0,54,0.0
11.0,96.0,60,0.0
