Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC
47,A3905,42,24,48,114,06122,L2,2011,3,2011,100,SAPS020006,Scientifica,2014,95,0,0,Cessato,Laureato,1
48,A4354,60,42,78,180,06122,L2,2011,3,2011,100,AVPS12000T,Scientifica,2013,106,0,0,Cessato,Laureato,0
49,A3554,12,?,?,12,06122,L2,2011,2,2011,88,SAPC00101P,Classica,?,?,0,0,Cessato,Rinuncia,0
50,A1050,42,36,57,135,06122,L2,2011,3,2011,85,SAPS10000T,Scientifica,2014,102,0,0,Cessato,Laureato,1
51,A4864,15,6,?,21,06122,L2,2011,3,2011,92,SARA010038,Agrario,?,?,0,0,Cessato,Decadenza,0
52,A3455,6,?,?,6,06122,L2,2011,1,2011,100,SAPS020006,Scientifica,?,?,0,0,Cessato,Rinuncia,0
53,A4519,?,6,?,6,06122,L2,2011,3,2010,60,SAPS170004,Scientifica,?,?,0,0,Cessato,Rinuncia,4
54,A5,48,42,51,141,06122,L2,2011,3,2010,86,SAPS120003,Scientifica,2014,98,0,0,Cessato,Laureato,1
55,A575,6,?,?,6,06122,L2,2011,1,2011,76,SAPM050003,Scientifica,?,?,0,0,Cessato,Rinuncia,0
56,A3591,15,?,?,15,06122,L2,2011,1,2011,91,SAPS01000G,Scientifica,?,?,0,0,Cessato,Conseguimento_titolo_presso_altro_ateneo,0
57,A4747,42,24,12,78,06122,L2,2011,3,2011,92,SAPS18000P,Scientifica,?,?,0,0,Attivo,Immatricolazione,5
58,A2091,?,?,?,?,06122,L2,2011,1,2011,89,AVRI00701R,Tecnico,?,?,0,0,Cessato,Rinuncia,0
59,A1132,54,42,63,159,06122,L2,2011,3,2011,100,SATF06000P,Tecnico,2015,102,0,0,Cessato,Laureato,2
60,A2148,?,?,?,0,06122,L2,2011,1,2011,100,SAPS11000C,Scientifica,?,?,0,0,Cessato,Rinuncia,0
61,A684,?,?,?,0,06122,L2,2011,1,2011,82,SAPS08000T,Scientifica,?,?,0,0,Cessato,Rinuncia,0
62,A2607,?,?,?,0,06122,L2,2011,1,2011,97,SAPC12000X,Classica,?,?,0,0,Cessato,Rinuncia,0
63,A669,?,?,?,?,06122,L2,2011,1,2011,89,SAPC03000N,Classica,?,?,0,0,Cessato,Rinuncia,0
64,A1633,54,54,72,180,06122,L2,2011,3,2011,100,SAPC12000X,Classica,2013,111,0,0,Cessato,Laureato,0
65,A447,?,?,?,?,06122,L2,2011,1,2011,85,9999999,Scientifica,?,?,0,0,Cessato,Rinuncia,0
66,A659,?,?,?,0,06122,L2,2011,2,2011,68,AVPM040007,Scientifica,?,?,0,0,Cessato,Rinuncia,0
67,A3675,21,6,?,27,06122,L2,2011,2,2011,86,AVTL02802X,Geometra,?,?,0,0,Sospeso,Trasferimento-Uscita,0
68,A1553,?,?,?,?,06122,L2,2011,1,2011,60,NAPS12000L,Scientifica,?,?,0,0,Cessato,Rinuncia,0
69,A1551,42,54,51,147,06122,L2,2011,3,2011,100,SAPS18000P,Scientifica,2014,108,0,0,Cessato,Laureato,1
70,A401,54,36,69,159,06122,L2,2011,3,2011,95,SAPS08000T,Scientifica,2014,96,0,0,Cessato,Laureato,1
71,A3501,?,?,?,0,06122,L2,2011,1,2011,73,BNPS011013,Scientifica,?,?,0,0,Cessato,Rinuncia,0
72,A2751,?,?,?,0,06122,L2,2011,1,2011,86,SAPS11000C,Classica,?,?,0,0,Cessato,Rinuncia,0
73,A1411,54,54,69,177,06122,L2,2011,3,2011,100,SAPC05000V,Linguistico,2014,108,0,0,Cessato,Laureato,1
