'Matr','CF','1','2','3','tot','CDS','Tipo_CDS','Coorte','Anni_Carriera','ANNO_DIPLOMA','VOTO_DIPLOMA','CODICE_MECCANOGRAFICO','TIPO_MATURITA','ANNO_ACCADEMICO_LAUREA','VOTO_LAUREA','Erasmus','TESI_ESTERO','STATO_STUDENTE','MOTIVO_STATO_STUDENTE','FC','CLASSE'
264,819,54,42,63,159,612,3,2013,3,2013,100,167,'Scientifica',2016,111,0,0,'Cessato','Laureato',1,11
265,2388,54,60,66,180,612,3,2013,3,2013,97,246,'Scientifica',2015,111,0,0,'Cessato','Laureato',0,11
266,2702,48,72,60,180,612,3,2013,3,2013,100,81,'Scientifica',2015,111,0,0,'Cessato','Laureato',0,11
267,872,36,48,63,147,612,3,2013,3,2012,73,295,'Scientifica',2016,103,0,0,'Cessato','Laureato',1,11
269,1835,27,33,18,78,612,3,2013,3,2012,83,269,'Agrario',0,0,0,0,'Attivo','Immatricolazione',1,2
271,3212,6,-1,-1,6,612,3,2013,1,2013,89,300,'Scientifica',0,0,0,0,'Cessato','Rinuncia',1,11
272,4671,48,42,51,141,612,3,2013,3,2013,86,300,'Scientifica',2017,97,0,0,'Cessato','Laureato',1,11
273,4069,54,66,60,180,612,3,2013,3,2013,100,243,'Scientifica',2015,111,0,0,'Cessato','Laureato',0,11
274,299,36,24,48,108,612,3,2013,3,2012,80,295,'Classica',2017,92,0,0,'Cessato','Laureato',1,5
275,4377,54,48,51,153,612,3,2013,3,2012,78,94,'Scientifica',2016,104,0,0,'Cessato','Laureato',1,11
276,862,48,36,57,141,612,3,2013,3,2013,87,121,'Scientifica',2017,98,0,0,'Cessato','Laureato',1,11
277,3912,48,60,72,180,612,3,2013,3,2013,95,7,'Scientifica',2015,107,0,0,'Cessato','Laureato',0,11
278,3776,48,18,6,72,612,3,2013,3,2013,95,300,'Scientifica',0,0,0,0,'Cessato','Rinuncia',1,11
279,1045,24,42,48,114,612,3,2013,3,2013,91,144,'Classica',2016,98,0,0,'Cessato','Laureato',1,5
280,2572,15,39,12,66,612,3,2013,3,2013,74,35,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
281,1285,48,30,54,132,612,3,2013,3,2013,98,254,'Scientifica',2017,92,0,0,'Cessato','Laureato',1,11
282,1723,15,21,6,42,612,3,2013,3,2012,73,81,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
283,4638,27,39,48,114,612,3,2013,3,2013,80,35,'Liceo-Europeo',2017,107,0,0,'Cessato','Laureato',1,7
284,2192,39,21,12,72,612,3,2013,3,2013,78,199,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
