"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[""'Scientifica'"", 100, 1042]"
"[""'Scientifica'"", 100, 1048]"
"[""'Classica'"", 92, 1048]"
"[""'Scientifica'"", 76, 1021]"
"[""'Scientifica'"", 80, 1027]"
"[""'Scientifica'"", 86, 1042]"
"[""'Scientifica'"", 75, 1021]"
"[""'Scientifica'"", 74, 1006]"
"[""'Artistico'"", 88, 1009]"
"[""'Classica'"", 72, 1048]"
"[""'Scientifica'"", 92, 1048]"
"[""'Scientifica'"", 95, 1048]"
"[""'Classica'"", 87, 1066]"
"[""'Scientifica'"", 98, 1078]"
"[""'Scientifica'"", 85, 1054]"
"[""'Scientifica'"", 68, 1033]"
"[""'Scientifica'"", 88, 1060]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 98, 1054]"
"[""'Scientifica'"", 72, 1048]"
"[""'Scientifica'"", 70, 1054]"
"[""'Tecnico'"", 60, 1006]"
"[""'Scientifica'"", 90, 1027]"
"[""'Scientifica'"", 72, 1054]"
"[""'Ragioneria'"", 73, 1054]"
"[""'Classica'"", 84, 1006]"
"[""'Classica'"", 83, 1054]"
"[""'Scientifica'"", 72, 1054]"
"[""'Scientifica'"", 75, 1042]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 97, 1036]"
"[""'Scientifica'"", 71, 1054]"
"[""'Liceo-Europeo'"", 84, 1054]"
"[""'Classica'"", 100, 1054]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 85, 1042]"
"[""'Classica'"", 95, 1036]"
"[""'Scientifica'"", 88, 1042]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 99, 1054]"
"[""'Scientifica'"", 94, 1054]"
"[""'Scientifica'"", 81, 1054]"
"[""'Scientifica'"", 85, 1054]"
"[""'Scientifica'"", 82, 1054]"
"[""'Scientifica'"", 87, 1054]"
"[""'Scientifica'"", 82, 1054]"
"[""'Scientifica'"", 80, 1012]"
"[""'Classica'"", 100, 1054]"
"[""'Tecnico'"", 77, 1036]"
"[""'Scientifica'"", 87, 1054]"
"[""'Scientifica'"", 96, 1054]"
"[""'Scientifica'"", 100, 1060]"
