"Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC"
"[4290, 'A347', 57, 39, 24, 120, '06222', 2, 2012, 2, 2009, 93, 'SAPS020006', 'Scientifica', 2014, 111, 1, 0, 'Cessato', 'Laureato', 1]"
"[4291, 'A4505', 39, 45, 36, 120, '06222', 2, 2012, 2, 2009, 100, 'SAPS08000T', 'Scientifica', 2014, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4292, 'A1206', 18, 24, 36, 78, '06222', 2, 2012, 2, 2006, 100, 'SAPS02401E', 'Scientifica', 2015, 108, 0, 0, 'Cessato', 'Laureato', 2]"
"[4293, 'A1310', 27, 51, 42, 120, '06222', 2, 2012, 2, 2009, 98, 'SAPC06000D', 'Classica', 2014, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4294, 'A2606', 24, 66, 39, 129, '06222', 2, 2012, 2, 2009, 100, 'SAPC040008', 'Classica', 2014, 111, 1, 0, 'Cessato', 'Laureato', 1]"
"[4295, 'A818', 27, 33, 36, 96, '06222', 2, 2012, 2, 2008, 100, 'NAPS05701B', 'Scientifica', 2015, 108, 0, 0, 'Cessato', 'Laureato', 2]"
"[4296, 'A1801', 21, 0, 0, 21, '06222', 2, 2012, 2, 2009, 100, 'MTPS020005', 'Scientifica', 0, 0, 0, 0, 'Cessato', 'Rinuncia', 2]"
"[4297, 'A4080', 45, 33, 42, 120, '06222', 2, 2012, 2, 2009, 93, 'SAPS08000T', 'Scientifica', 2014, 110, 1, 0, 'Cessato', 'Laureato', 1]"
"[4298, 'A4554', 18, 48, 54, 120, '06222', 2, 2012, 2, 2008, 100, 'SAIS00100B', 'Linguistico', 2014, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4299, 'A4985', 30, 60, 30, 120, '06222', 2, 2012, 2, 2008, 100, 'SAPS15000V', 'Scientifica', 2014, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4300, 'A3420', 27, 33, 42, 102, '06222', 2, 2012, 2, 2008, 100, 'SAPSX00078', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 2]"
"[4301, 'A2187', 30, 54, 36, 120, '06222', 2, 2012, 2, 2008, 100, 'SAPS120003', 'Scientifica', 2014, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4302, 'A70', 33, 33, 18, 84, '06222', 2, 2012, 2, 2007, 100, 'SAPM050003', 'Scientifica', 2015, 110, 1, 0, 'Cessato', 'Laureato', 2]"
"[4303, 'A4094', 24, 33, 21, 78, '06222', 2, 2012, 2, 2008, 100, 'SAPS04000B', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 2]"
"[4304, 'A3787', 24, 39, 33, 96, '06222', 2, 2012, 2, 2006, 80, 'SATF06000P', 'Tecnici-Industriali', 2015, 106, 0, 0, 'Cessato', 'Laureato', 2]"
"[4305, 'A4327', 45, 57, 18, 120, '06222', 2, 2013, 2, 2008, 95, 'SAPS020006', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4306, 'A4219', 51, 78, 0, 129, '06222', 2, 2013, 2, 2009, 96, 'SAPS06000L', 'Scientifica', 2014, 110, 1, 0, 'Cessato', 'Laureato', 0]"
"[4307, 'A2493', 51, 69, 0, 120, '06222', 2, 2013, 2, 2009, 93, 'AVPS02701R', 'Scientifica', 2014, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4308, 'A4251', 45, 30, 15, 90, '06222', 2, 2013, 2, 2009, 80, 'NAPC02000L', 'Scientifica', 2017, 104, 0, 0, 'Cessato', 'Laureato', 3]"
"[4309, 'A2725', 33, 45, 42, 120, '06222', 2, 2013, 2, 2009, 96, 'SAPC06000D', 'Classica', 2015, 110, 0, 0, 'Cessato', 'Laureato', 1]"
"[4310, 'A2020', 39, 39, 42, 120, '06222', 2, 2013, 2, 2004, 76, 'SAPS03000R', 'Scientifica', 2015, 107, 0, 0, 'Cessato', 'Laureato', 1]"
"[4311, 'A4670', 27, 33, 6, 66, '06222', 2, 2013, 2, 2008, 88, 'AVPS06000B', 'Scientifica', 2017, 105, 0, 0, 'Cessato', 'Laureato', 3]"
"[4312, 'A2247', 33, 63, 24, 120, '06222', 2, 2013, 2, 2008, 100, 'SAPS170004', 'Scientifica', 2015, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4313, 'A3030', 57, 39, 24, 120, '06222', 2, 2013, 2, 2007, 100, 'SAPS03000R', 'Scientifica', 2015, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4314, 'A888', 39, 33, 48, 120, '06222', 2, 2013, 2, 2007, 96, 'NAPC02000L', 'Scientifica', 2015, 110, 1, 1, 'Cessato', 'Laureato', 1]"
"[4315, 'A2491', 45, 51, 24, 120, '06222', 2, 2013, 2, 2009, 100, 'BNPM02000T', 'Scientifica', 2015, 111, 1, 0, 'Cessato', 'Laureato', 1]"
"[4316, 'A2939', 39, 39, 42, 120, '06222', 2, 2013, 2, 2007, 82, 'SAPS09000C', 'Scientifica', 2015, 103, 0, 0, 'Cessato', 'Laureato', 1]"
"[4317, 'A3801', 45, 51, 24, 120, '06222', 2, 2013, 2, 2009, 100, 'SAPS170004', 'Scientifica', 2015, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4318, 'A4311', 27, 39, 6, 72, '06222', 2, 2013, 2, 2006, 100, 'NAPC02000L', 'Scientifica', 2017, 109, 0, 0, 'Cessato', 'Laureato', 3]"
"[4319, 'A2413', 45, 51, 24, 120, '06222', 2, 2013, 2, 2007, 100, 'SAPS06000L', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4320, 'A1135', 45, 51, 24, 120, '06222', 2, 2013, 2, 2009, 87, 'AVPC05000N', 'Classica', 2015, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4321, 'A4576', 18, 12, 0, 30, '06222', 2, 2013, 2, 2002, 90, 'SATF06000P', 'Tecnici-Industriali', 0, 0, 0, 0, 'Attivo', 'Immatricolazione', 4]"
