Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC,CLASSE
1253,'A4466',30,24,27,81,'06123',3,2013,3,2013,81,'SAPS15000V','Scientifica',2017,92,0,0,'Cessato','Laureato',2,3
1254,'A4119',9,9,6,24,'06123',3,2013,3,2012,69,'AVPS003018','Scientifica',0,0,0,0,'Sospeso','Trasferimento-Uscita',0,3
1255,'A2787',15,-1,-1,15,'06123',3,2013,3,2013,77,'SAPS120003','Scientifica',0,0,0,0,'Cessato','Rinuncia',1,3
1256,'A3502',42,18,12,72,'06123',3,2013,3,2013,100,'CEPS010018','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1257,'A975',9,-1,-1,9,'06123',3,2013,3,2013,80,'SAPS020006','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
1259,'A4465',27,30,60,117,'06123',3,2013,3,2013,96,'CETL012016','Geometra',2017,96,0,0,'Cessato','Laureato',2,2
1260,'A2159',30,-1,6,36,'06123',3,2013,3,2011,60,'SATF06701E','Tecnico',0,0,0,0,'Attivo','Immatricolazione',3,2
1262,'A4180',54,57,69,180,'06123',3,2013,3,2013,100,'SAPS020006','Scientifica',2015,111,0,0,'Cessato','Laureato',0,3
1263,'A4274',21,-1,-1,21,'06123',3,2013,1,2013,100,'SAPS09000C','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
1264,'A3424',9,9,12,30,'06123',3,2013,3,2013,70,'AVPS12000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1265,'A2068',36,18,12,66,'06123',3,2013,3,2013,81,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1266,'A2609',6,9,-1,15,'06123',3,2013,2,2013,68,'SAPS020006','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
1267,'A1750',30,21,48,99,'06123',3,2013,3,2013,94,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1268,'A3904',54,57,69,180,'06123',3,2013,3,2013,100,'AVPS12000T','Scientifica',2015,111,0,0,'Cessato','Laureato',0,3
1269,'A149',12,21,12,45,'06123',3,2013,3,2012,100,'AVPS12000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,3
1270,'A3733',9,15,18,42,'06123',3,2013,3,2013,90,'SATF03000V','Tecnico',0,0,0,0,'Attivo','Immatricolazione',1,2
1271,'A2859',36,24,33,93,'06123',3,2013,3,2013,85,'SAPS15000V','Liceo-Europeo',2017,99,0,0,'Cessato','Laureato',2,1
1272,'A1693',42,21,42,105,'06123',3,2014,3,2013,100,'SAPS020006','Scientifica',2018,97,0,0,'Cessato','Laureato',2,3
1273,'A2198',42,27,30,99,'06123',3,2013,3,2013,69,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1274,'A3',33,9,27,69,'06123',3,2013,3,2012,80,'SATL019019','Geometra',0,0,0,0,'Attivo','Immatricolazione',3,2
1275,'A1358',21,9,33,63,'06123',3,2013,3,2009,75,'SATF06000P','Tecnico',0,0,0,0,'Attivo','Immatricolazione',3,2
1276,'A2935',48,33,18,99,'06123',3,2013,3,2011,75,'NAPM130008','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1277,'A939',15,-1,-1,15,'06123',3,2013,3,2013,75,'SAPS08000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,3
1278,'A3908',9,-1,-1,9,'06123',3,2013,2,2013,78,'BNPS010006','Scientifica',0,0,0,0,'Cessato','Decadenza',0,3
1279,'A3485',42,51,60,153,'06123',3,2013,3,2013,81,'SAPS04401Q','Scientifica',2016,103,0,0,'Cessato','Laureato',1,3
1280,'A3454',54,57,66,177,'06123',3,2013,3,2013,100,'SAPS04401Q','Scientifica',2016,96,0,0,'Cessato','Laureato',1,3
1281,'A1340',42,45,36,123,'06123',3,2013,3,2013,95,'AVPS12000T','Scientifica',2017,99,0,0,'Cessato','Laureato',2,3
1282,'A759',30,39,36,105,'06123',3,2013,3,2013,71,'AVPS02701R','Liceo-Europeo',2017,104,0,0,'Cessato','Laureato',2,1
1284,'A3922',54,51,48,153,'06123',3,2013,3,2013,95,'SAPS070007','Scientifica',2016,104,1,1,'Cessato','Laureato',1,3
1285,'A2511',18,24,27,69,'06123',3,2013,3,2013,88,'NAPS01801R','Scientifica',2017,94,0,0,'Cessato','Laureato',2,3
1287,'A1910',24,-1,-1,24,'06123',3,2013,2,2012,70,'SAPSX00706','Scientifica',0,0,0,0,'Cessato','Decadenza',0,3
1288,'A1318',9,21,15,45,'06123',3,2013,3,2013,71,'SAPS09000C','Liceo-Europeo',0,0,0,0,'Attivo','Immatricolazione',3,1
1290,'A3122',30,39,6,75,'06123',3,2013,3,2013,96,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',3,3
1291,'A767',42,39,42,123,'06123',3,2013,3,2013,88,'SAPS06000L','Scientifica',2017,110,0,0,'Cessato','Laureato',2,3
1292,'A3736',9,-1,-1,9,'06123',3,2013,3,2013,90,'SAPS01102D','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
