ID,Dip,ANNO_DIPLOMA,VOTO_DIPLOMA,TIPO_MATURITA,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,Tesi,Totcfu,Media,Test,Mat,Log,Sci,Com
56,DIIN,2018,79,Scientifica,Cessato,Rinuncia,,20,22,21,5,6,6,5,5
57,DIIN,2018,80,Scientifica,Attivo,Immatricolazione,,42,24,5,24,5,10,6,3,6
58,DIIN,2018,80,Scientifica,Attivo,Immatricolazione,,29,22,8,23,2,4,7,6,6
59,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,27,20,26,2,12,6,2,7
60,DIIN,2018,87,Scientifica,Attivo,Immatricolazione,,50,25,3,34,5,14,6,6,8
61,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,45,29,2,24,2,16,4,4,2
62,DIIN,2018,97,Tecnico,Attivo,Immatricolazione,,27,25,19,5,4,4,6
63,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,22,9,31,8,12,8,4,8
64,DIIN,2018,97,Scientifica,Attivo,Immatricolazione,,45,27,4,31,17,5,6,3
65,DIIN,2018,90,Scientifica,Attivo,Immatricolazione,,54,23,8,24,5,10,4,5,5
66,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,51,29,4,34,8,19,9,2,5
67,DIIN,2018,100,Tecnico,Attivo,Immatricolazione,,21,27,5,26,11,6,6,4
68,DIIN,2018,100,Classica,Attivo,Immatricolazione,,54,26,3,22,8,12,5,3,2
69,DIIN,2018,83,Scientifica,Attivo,Immatricolazione,,36,22,2,24,8,11,2,5,6
70,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,28,5,26,5,12,5,3,6
71,DIIN,2018,82,Classica,Cessato,Rinuncia,,18,22,5,26,5,8,5,6,8
72,DIIN,2018,100,Scientifica,Sospeso,Trasf. in uscita,,21,24,7,22,2,8,3,2,9
73,DIIN,2018,71,Scientifica,Attivo,Immatricolazione,,6,18,20,8,5,4,4
74,DIIN,2018,82,Scientifica,Attivo,Immatricolazione,,33,19,5,27,10,5,5,7
75,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,27,5,32,5,9,8,9,8
76,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,26,27,12,5,4,6
77,DIIN,2018,85,Scientifica,Attivo,Immatricolazione,,42,22,4,26,2,10,9,3,5
78,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,28,7,29,2,14,1,6,9
79,DIIN,2018,87,Scientifica,Attivo,Immatricolazione,,44,27,5,22,8,8,6,3,6
80,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,29,5,39,2,18,7,7,8
81,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,24,8,22,14,4,1,4
82,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,27,3,22,8,11,3,4,5
83,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,29,25,2,12,4,3,7
84,DIIN,2018,80,Scientifica,Attivo,Immatricolazione,,42,21,4,29,2,14,6,3,6
85,DIIN,2018,78,Scientifica,Attivo,Immatricolazione,,54,24,19,2,7,5,4,4
86,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,45,30,3,22,5,13,0,3,7
87,DIIN,2018,84,Tecnico,Attivo,Immatricolazione,,24,19,7,20,8,3,4,6,8
88,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,28,3,20,8,10,2,3,6
89,DIIN,2018,100,Classica,Attivo,Immatricolazione,,42,26,8,24,8,10,6,3,6
90,DIIN,2018,98,Scientifica,Attivo,Immatricolazione,,54,27,7,21,8,9,2,5,5
91,DIIN,2018,70,Scientifica,Attivo,Immatricolazione,,8,19,15,2,3,3,2,7
92,DIIN,2018,80,Scientifica,Attivo,Immatricolazione,,36,22,19,10,5,0,4
93,DIIN,2018,94,Scientifica,Attivo,Immatricolazione,,42,26,8,20,5,5,3,5,8
94,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,29,2,24,8,12,4,3,6
95,DIIN,2017,77,Scientifica,Attivo,Immatricolazione,,27,25,7,8,8,5,-1,3,2
96,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,26,2,26,8,8,8,1,10
97,DIIN,2018,90,Scientifica,Attivo,Immatricolazione,,36,20,5,22,5,6,8,2,6
98,DIIN,2018,87,Scientifica,Attivo,Immatricolazione,,33,23,2,22,15,3,3,1
99,DIIN,2018,98,Scientifica,Attivo,Immatricolazione,,54,27,2,28,8,12,6,2,8
100,DIIN,2018,98,Scientifica,Attivo,Immatricolazione,,54,21,7,21,8,3,3,8
101,DIIN,2018,95,Scientifica,Attivo,Immatricolazione,,42,26,2,27,8,6,6,7,9
102,DIIN,2018,92,Scientifica,Attivo,Immatricolazione,,54,25,2,18,8,9,2,6,3
103,DIIN,2018,94,Tecnico,Attivo,Immatricolazione,,48,25,2,18,5,5,4,5,5
104,DIIN,2018,100,Scientifica,Sospeso,Trasf. in uscita,,30,22,7,22,2,10,4,3,5
105,DIIN,2018,87,Scientifica,Attivo,Immatricolazione,,36,20,8,18,8,6,3,5,4
106,DIIN,2018,86,Scientifica,Attivo,Immatricolazione,,45,20,4,25,8,10,4,4,7
107,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,30,7,35,5,14,9,6,6
108,DIIN,2018,64,Tecnico,Attivo,Immatricolazione,,48,19,6,15,5,8,2,2,4
109,DIIN,2018,96,Tecnico,Attivo,Immatricolazione,,39,22,5,15,5,8,2,2,2
110,DIIN,2018,94,Scientifica,Attivo,Immatricolazione,,36,21,18,5,8,2,4,4
111,DIIN,2018,97,Scientifica,Attivo,Immatricolazione,,54,22,34,2,14,7,6,8
112,DIIN,2018,94,Tecnico,Attivo,Immatricolazione,,33,24,5,14,8,5,2,2,6
113,DIIN,2018,95,Scientifica,Attivo,Immatricolazione,,42,25,2,29,5,12,7,5,6
114,DIIN,2018,100,Classica,Attivo,Immatricolazione,,50,25,9,29,10,5,7,7
115,DIIN,2018,91,Tecnico,Attivo,Immatricolazione,,24,22,3,14,2,6,2,3,4
116,DIIN,2018,85,Scientifica,Attivo,Immatricolazione,,54,26,23,5,9,9,5,1
117,DIIN,2018,81,Scientifica,Attivo,Immatricolazione,,12,24,14,8,6,4,0,6
118,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,42,27,8,29,8,14,4,5,8
119,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,42,28,2,19,2,9,4,2,4
120,DIIN,2018,87,Tecnico,Attivo,Immatricolazione,,54,24,8,14,5,6,6,1,2
121,DIIN,2018,90,Scientifica,Attivo,Immatricolazione,,54,23,8,25,12,3,2,8
122,DIIN,2017,77,Socio-Psico-Pedagogico,Attivo,Immatricolazione,,20,24,3,10,8,4,2,0,5
123,DIIN,2018,75,Scientifica,Attivo,Immatricolazione,,54,26,23,2,9,5,4,6
124,DIIN,2018,88,Scientifica,Attivo,Immatricolazione,,42,22,2,19,8,6,4,4,6
125,DIIN,2018,90,Scientifica,Attivo,Immatricolazione,,42,24,2,21,8,4,2,7
126,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,29,8,29,2,12,6,4,7
127,DIIN,2017,100,Scientifica,Attivo,Immatricolazione,,36,22,5,17,4,1,3,9
128,DIIN,2018,82,Scientifica,Attivo,Immatricolazione,,42,19,6,16,5,8,7,0,2
129,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,25,5,16,8,9,2,0,6
130,DIIN,2018,100,Classica,Attivo,Immatricolazione,,54,26,3,18,5,8,5,0,6
131,DIIN,2018,87,Scientifica,Attivo,Immatricolazione,,54,24,8,18,2,9,2,3,4
132,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,54,26,5,27,5,10,4,6,8
133,DIIN,2018,94,Scientifica,Attivo,Immatricolazione,,54,28,5,29,8,12,8,4,7
134,DIIN,2018,78,Scientifica,Attivo,Immatricolazione,,27,24,3,27,10,6,4,7
135,DIIN,2017,99,Scientifica,Attivo,Immatricolazione,,21,22,5,10,2,6,3,2,0
136,DIIN,2018,99,Scientifica,Attivo,Immatricolazione,,54,30,2,28,2,15,4,4,6
137,DIIN,2017,99,Classica,Attivo,PASSAGGIO,,48,26,7,27,8,11,6,5,6
138,DIIN,2018,95,Classica,Attivo,Immatricolazione,,36,22,5,19,8,4,8,0,9
139,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,48,24,2,20,8,6,6,2,6
140,DIIN,2018,100,Classica,Attivo,Immatricolazione,,54,26,3,24,8,7,6,4,8
141,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,27,23,2,10,1,7,6
142,DIIN,2018,100,Classica,Attivo,Immatricolazione,,33,20,8,23,5,6,6,4,8
143,DIIN,2018,100,Scientifica,Cessato,Rinuncia,,42,26,6,27,2,12,2,6,7
144,DIIN,2018,87,Scientifica,Attivo,Immatricolazione,,24,27,7,16,8,5,3,4,4
145,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,36,23,5,21,8,5,2,6
146,DIIN,2018,87,Scientifica,Attivo,Immatricolazione,,42,22,4,19,7,3,2,6
147,DIIN,2015,70,Scientifica,Attivo,Immatricolazione,,12,20,19,2,5,5,2,8
148,DIIN,2018,79,Tecnico,Attivo,Immatricolazione,,33,19,5,16,5,8,1,3,5
149,DIIN,2018,90,Scientifica,Attivo,Immatricolazione,,50,29,6,27,14,7,4,2
150,DIIN,2015,74,Scientifica,Attivo,Immatricolazione,,,,17,8,8,2,3,4
151,DIIN,2018,73,Scientifica,Attivo,Immatricolazione,,44,22,5,14,9,0,1,4
152,DIIN,2018,85,Scientifica,Attivo,Immatricolazione,,38,24,4,19,8,9,4,4,3
153,DIIN,2018,100,Classica,Attivo,Immatricolazione,,35,24,2,20,2,4,6,2,8
154,DIIN,2018,95,Scientifica,Attivo,Immatricolazione,,45,22,21,8,8,5,2,7
155,DIIN,2018,89,Scientifica,Attivo,Immatricolazione,,50,29,1,36,5,15,10,8,4
156,DIIN,2018,97,Scientifica,Cessato,Rinuncia,,,,19,5,8,3,4,6
157,DIIN,2018,100,Geometra,Cessato,Rinuncia,,,,22,5,10,4,2,6
158,DIIN,2018,79,Scientifica,Cessato,Rinuncia,,,,15,2,8,3,1,4
159,DIIN,2018,100,Classica,Cessato,Rinuncia,,,,17,8,5,2,3,8
160,DIIN,2018,86,Scientifica,Cessato,Errata Immatricolazione,,,,14,5,8,5,0,2
161,DIIN,2018,91,Scientifica,Cessato,Rinuncia,,,,24,6,4,5,9
162,DIIN,2018,88,Scientifica,Attivo,Immatricolazione,,44,21,8,27,8,8,9,3,8
163,DIIN,2018,84,Scientifica,Cessato,Rinuncia,,,,26,6,8,3,10
164,DIIN,2018,85,Tecnico,Attivo,Immatricolazione,,,,28,2,6,8,4,10
165,DIIN,2018,88,Scientifica,Cessato,Rinuncia,,8,27,23,8,8,4,4
166,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,29,6,24,10,5,2,8
167,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,24,4,26,2,12,5,2,8
168,DIIN,2013,70,Ragioneria,Attivo,Immatricolazione,,,,14,5,5,6,0,4
169,DIIN,2018,100,Scientifica,Cessato,Errata Immatricolazione,,,,17,8,7,2,2,7
170,DIIN,2011,63,Scientifica,Cessato,Rinuncia,,,,20,8,8,6,0,6
171,DIIN,2018,88,Scientifica,Cessato,Errata Immatricolazione,,,,15,5,4,2,2,8
172,DIIN,2018,94,Scientifica,Attivo,Immatricolazione,,50,28,1,24,2,10,9,3,2
173,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,29,4,29,12,8,6,4
174,DIIN,2018,89,Scientifica,Attivo,Immatricolazione,,50,26,29,5,14,7,3,5
175,DIIN,2018,86,Classica,Attivo,Immatricolazione,,14,25,5,17,2,5,2,8
176,DIIN,2018,91,Tecnico,Cessato,Rinuncia,,,,18,5,8,3,0,6
177,DIIN,2018,95,Scientifica,Attivo,Immatricolazione,,50,24,4,25,6,7,6,7
178,DIIN,2018,87,Scientifica,Attivo,Immatricolazione,,44,24,8,29,2,15,7,2,6
179,DIIN,2018,85,Socio-Psico-Pedagogico,Attivo,Immatricolazione,,35,21,8,14,2,7,3,1,4
180,DIIN,2018,68,Scientifica,Attivo,Immatricolazione,,50,26,7,18,9,2,2,4
181,DIIN,2018,97,Scientifica,Attivo,Immatricolazione,,50,25,7,25,2,14,4,4,4
182,DIIN,2017,86,Scientifica,Attivo,Immatricolazione,,17,27,5,17,5,7,3,3,5
183,DIIN,2018,95,Scientifica,Attivo,Immatricolazione,,45,27,31,13,7,5,7
184,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,28,6,26,10,4,6,6
185,DIIN,2018,83,Scientifica,Cessato,Rinuncia,,8,27,17,8,8,4,1,5
186,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,51,25,27,9,2,7,9
187,DIIN,2018,92,Scientifica,Cessato,Rinuncia,,,,23,2,10,5,4,5
188,DIIN,2018,78,Scientifica,Attivo,Immatricolazione,,38,24,19,8,11,6,0,3
189,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,44,24,5,21,2,8,4,2,7
190,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,24,6,27,5,12,3,7,6
191,DIIN,2017,87,Tecnico,Attivo,Immatricolazione,,51,24,7,25,5,9,10,0,7
192,DIIN,2018,91,Scientifica,Attivo,Immatricolazione,,29,24,5,23,2,12,6,1,5
193,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,28,7,39,8,16,8,7,10
194,DIIN,2018,90,Tecnico,Attivo,Immatricolazione,,41,24,2,22,5,7,6,3,7
195,DIIN,2018,100,Tecnico,Attivo,Immatricolazione,,20,26,18,5,8,6,1,3
196,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,30,41,5,18,9,8,8
197,DIIN,2018,90,Scientifica,Attivo,Immatricolazione,,51,27,19,8,11,4,4,0
198,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,26,6,20,2,8,2,4,6
199,DIIN,2017,61,Tecnico,Cessato,Rinuncia,,,,9,8,2,4,0,4
200,DIIN,2017,78,Tecnico,Attivo,Immatricolazione,,51,21,9,5,2,1,2,2,0
201,DIIN,2017,76,Scientifica,Attivo,Immatricolazione,,17,24,5,14,8,2,2,2
202,DIIN,2018,97,Scientifica,Attivo,Immatricolazione,,44,26,3,23,2,7,8,4,5
203,DIIN,2018,72,Scientifica,Attivo,Immatricolazione,,23,21,21,5,7,5,5,5
204,DIIN,2017,64,Scientifica,Attivo,Immatricolazione,,23,23,7,13,2,5,3,2,3
205,DIIN,2018,90,Scientifica,Attivo,Immatricolazione,,23,24,20,5,6,2,8
206,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,29,7,46,5,20,8,9,10
207,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,27,21,5,6,6,3,6
208,DIIN,2018,84,Scientifica,Attivo,Immatricolazione,,38,25,2,19,8,8,5,2,6
209,DIIN,2018,83,Scientifica,Attivo,Immatricolazione,,50,28,1,32,16,9,6,2
210,DIIN,2018,96,Scientifica,Attivo,Immatricolazione,,51,23,3,18,8,8,4,1,6
211,DIIN,2017,70,Scientifica,Attivo,Immatricolazione,,29,23,5,4,2,2,-1,1,2
212,DIIN,2018,76,Scientifica,Attivo,Immatricolazione,,41,24,3,16,8,2,2,3
213,DIIN,2018,94,Scientifica,Attivo,Immatricolazione,,50,26,6,16,9,2,2,3
214,DIIN,2018,89,Scientifica,Attivo,Immatricolazione,,24,24,7,15,2,8,4,2,1
215,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,44,26,3,14,5,4,3,1,6
216,DIIN,2018,94,Scientifica,Attivo,Immatricolazione,,35,22,4,15,2,9,2,1,4
217,DIIN,2018,80,Scientifica,Attivo,Immatricolazione,,41,22,7,18,5,7,3,2,6
218,DIIN,2018,82,Scientifica,Cessato,Rinuncia,,,,20,5,4,4,6,7
219,DIIN,2017,83,Scientifica,Attivo,Immatricolazione,,8,27,24,5,4,6,9
220,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,29,7,34,8,19,4,7,5
221,DIIN,2018,75,Scientifica,Attivo,Immatricolazione,,50,26,6,25,10,6,4,6
222,DIIN,2018,81,Scientifica,Attivo,Immatricolazione,,14,23,5,14,2,4,2,2,5
223,DIIN,2018,76,Scientifica,Attivo,Immatricolazione,,39,22,19,8,15,0,3,2
224,DIIN,2018,100,Classica,Attivo,Immatricolazione,,50,30,1,35,11,9,8,8
225,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,39,24,4,22,2,8,5,4,6
226,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,27,7,22,8,8,3,4,8
227,DIIN,2018,98,Scientifica,Attivo,Immatricolazione,,30,22,25,10,3,3,9
228,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,25,22,2,10,8,1,4
229,DIIN,2017,86,Linguistico,Attivo,Immatricolazione,,20,25,7,6,5,2,3,2,0
230,DIIN,2018,84,Scientifica,Attivo,Immatricolazione,,20,22,3,20,8,5,8,1,7
231,DIIN,2018,88,Scientifica,Attivo,Immatricolazione,,50,29,7,33,5,16,6,6,5
232,DIIN,2018,91,Scientifica,Attivo,Immatricolazione,,50,23,7,19,2,8,5,3,3
233,DIIN,2016,88,Socio-Psico-Pedagogico,Attivo,Immatricolazione,,20,22,10,5,3,0,2
234,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,45,23,8,28,9,6,4,9
235,DIIN,2016,88,Socio-Psico-Pedagogico,Attivo,Immatricolazione,,20,23,3,5,0,2,2,2
236,DIIN,2014,83,Scientifica,Attivo,Immatricolazione,,44,25,2,21,9,3,6,4
237,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,29,7,27,8,14,6,2,6
238,DIIN,2018,83,Tecnico,Cessato,Rinuncia,,,,16,2,8,0,2,6
239,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,28,4,30,12,8,4,6
240,DIIN,2018,88,Scientifica,Attivo,Immatricolazione,,45,25,8,25,8,10,2,5,9
241,DIIN,2018,74,Scientifica,Attivo,Immatricolazione,,35,22,8,18,5,6,3,3,6
242,DIIN,2018,67,Scientifica,Attivo,Immatricolazione,,,,20,8,5,1,6
243,DIIN,2018,83,Scientifica,Cessato,Rinuncia,,,,20,8,5,3,4
244,DIIN,2018,78,Scientifica,Cessato,Rinuncia,,,,16,8,7,4,2,2
245,DIIN,2018,100,Classica,Attivo,Immatricolazione,,50,28,7,21,5,9,4,3,6
246,DIIN,2018,93,Scientifica,Attivo,Immatricolazione,,50,27,19,5,12,2,3,3
247,DIIN,2018,80,Scientifica,Attivo,Immatricolazione,,35,22,19,5,5,3,7,4
248,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,45,24,7,29,2,14,6,2,6
249,DIIN,2018,97,Scientifica,Attivo,Immatricolazione,,50,22,6,25,8,12,6,4,4
250,DIIN,2018,82,Scientifica,Attivo,Immatricolazione,,50,24,4,15,5,9,2,2,3
251,DIIN,2018,76,Scientifica,Attivo,Immatricolazione,,45,24,2,19,8,7,6,4,2
252,DIIN,2018,90,Classica,Attivo,Immatricolazione,,51,28,3,20,8,10,3,4,4
253,DIIN,2018,95,Scientifica,Attivo,Immatricolazione,,50,24,3,31,5,14,4,4,8
254,DIIN,2018,88,Classica,Attivo,Immatricolazione,,8,25,19,5,6,0,8
255,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,29,28,2,14,6,4,6
256,DIIN,2018,80,Scientifica,Attivo,Immatricolazione,,8,18,23,2,8,4,8,3
257,DIIN,2018,100,Scientifica,Attivo,Immatricolazione,,50,29,1,21,6,4,2,8
258,DIIN,2018,94,Scientifica,Attivo,Immatricolazione,,50,26,4,23,2,11,3,6,4
