"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[2, 83, 1036, 2]"
"[3, 65, 1036, 2]"
"[3, 85, 1042, 2]"
"[2, 87, 1048, 2]"
"[2, 76, 1042, 2]"
"[2, 48, 1021, 0]"
"[3, 97, 1009, 0]"
"[3, 72, 1021, 2]"
"[1, 69, 1006, 0]"
"[3, 97, 1036, 1]"
"[2, 80, 1030, 2]"
"[3, 84, 1018, 2]"
"[2, 78, 1021, 2]"
"[3, 73, 1009, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1036, 0]"
"[1, 89, 1054, 0]"
"[3, 80, 1048, 1]"
"[3, 100, 1048, 0]"
"[3, 91, 1033, 0]"
"[3, 100, 1054, 0]"
"[3, 80, 1042, 0]"
"[3, 100, 1054, 0]"
"[1, 95, 1054, 0]"
"[3, 100, 1054, 0]"
"[3, 78, 1042, 1]"
"[3, 75, 1009, 1]"
"[3, 83, 1042, 1]"
"[3, 100, 1054, 0]"
"[3, 82, 1048, 1]"
"[3, 89, 1054, 0]"
"[3, 80, 1054, 0]"
"[3, 88, 1054, 0]"
"[3, 100, 1048, 1]"
"[3, 68, 1033, 0]"
"[1, 100, 1042, 1]"
"[3, 86, 1054, 0]"
"[3, 100, 1048, 0]"
"[3, 100, 1054, 0]"
"[3, 90, 1036, 1]"
"[3, 74, 1048, 1]"
"[3, 100, 1054, 0]"
"[3, 85, 1009, 1]"
"[3, 100, 1054, 0]"
"[1, 93, 1042, 1]"
"[3, 87, 1054, 0]"
"[3, 100, 1042, 1]"
"[3, 94, 1048, 1]"
"[3, 65, 1048, 1]"
"[2, 93, 1054, 0]"
"[2, 83, 1054, 0]"
"[3, 98, 1048, 0]"
"[3, 70, 1054, 0]"
"[3, 67, 1030, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1054, 0]"
"[2, 80, 1048, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1054, 0]"
"[3, 68, 1048, 1]"
"[3, 96, 1054, 0]"
"[3, 64, 1009, 0]"
"[3, 70, 1030, 1]"
"[3, 90, 1042, 0]"
"[3, 100, 1054, 0]"
"[3, 98, 1015, 0]"
"[3, 100, 1054, 0]"
"[2, 95, 1042, 1]"
"[3, 74, 1006, 1]"
"[1, 86, 1036, 0]"
"[3, 66, 1018, 0]"
"[3, 80, 1036, 1]"
"[3, 95, 1048, 0]"
"[3, 77, 1006, 0]"
"[2, 92, 1036, 1]"
"[2, 100, 1054, 0]"
"[2, 91, 1054, 0]"
"[3, 86, 1030, 1]"
"[3, 82, 1036, 1]"
"[3, 76, 1042, 0]"
"[3, 100, 1036, 0]"
"[3, 82, 1042, 1]"
"[3, 78, 1054, 0]"
"[2, 80, 1042, 0]"
"[3, 100, 1048, 1]"
"[2, 100, 1048, 1]"
"[3, 82, 1048, 0]"
"[3, 77, 1015, 1]"
"[1, 90, 1054, 1]"
"[3, 60, 1054, 1]"
"[3, 100, 1021, 0]"
"[3, 80, 1036, 1]"
"[2, 85, 1048, 1]"
"[3, 88, 1054, 0]"
"[2, 85, 1033, 1]"
"[3, 79, 1042, 0]"
"[2, 96, 1042, 1]"
"[3, 80, 1030, 1]"
"[3, 90, 1054, 0]"
"[3, 95, 1057, 2]"
"[3, 78, 1048, 1]"
"[2, 100, 1015, 0]"
"[2, 100, 1030, 1]"
"[2, 83, 1036, 1]"
"[3, 91, 1048, 0]"
"[2, 98, 1048, 1]"
"[3, 88, 1024, 1]"
"[3, 90, 1048, 1]"
"[3, 66, 1015, 1]"
"[3, 91, 1027, 1]"
"[3, 90, 1042, 1]"
"[3, 100, 1054, 0]"
"[3, 80, 1036, 1]"
"[3, 68, 1009, 0]"
"[3, 80, 1036, 0]"
"[3, 100, 1042, 1]"
"[3, 83, 1036, 0]"
"[3, 80, 1036, 0]"
"[2, 98, 1054, 1]"
"[2, 75, 1006, 0]"
"[3, 83, 1036, 1]"
"[2, 100, 1048, 0]"
"[3, 66, 1024, 1]"
"[3, 96, 1042, 1]"
"[2, 80, 1030, 1]"
"[3, 76, 1054, 0]"
"[3, 100, 1054, 1]"
"[3, 100, 1015, 0]"
"[3, 80, 1048, 0]"
"[3, 80, 1036, 0]"
"[2, 85, 1036, 1]"
"[2, 60, 1009, 1]"
"[3, 100, 1048, 0]"
"[3, 100, 1042, 1]"
"[3, 70, 1030, 1]"
"[3, 98, 1042, 0]"
"[3, 73, 1009, 1]"
"[3, 100, 1054, 0]"
"[3, 82, 1042, 1]"
"[3, 100, 1048, 0]"
"[3, 65, 1036, 1]"
"[3, 100, 1042, 1]"
"[3, 87, 1054, 0]"
"[2, 95, 1048, 1]"
"[3, 84, 1030, 1]"
"[3, 76, 1042, 0]"
"[3, 83, 1009, 0]"
"[2, 67, 1030, 1]"
"[1, 85, 1054, 1]"
"[3, 80, 1048, 1]"
"[2, 100, 1015, 1]"
"[3, 87, 1021, 1]"
"[3, 100, 1054, 0]"
"[3, 93, 1042, 0]"
"[2, 80, 1027, 1]"
"[3, 87, 1048, 1]"
"[3, 84, 1024, 0]"
"[3, 100, 1042, 1]"
"[2, 100, 1042, 0]"
"[1, 96, 1036, 1]"
"[3, 94, 1048, 1]"
"[1, 72, 1030, 1]"
"[3, 65, 1012, 0]"
"[3, 70, 1018, 0]"
"[3, 77, 1042, 1]"
"[2, 95, 1036, 1]"
"[3, 70, 1009, 1]"
"[2, 86, 1042, 1]"
"[3, 100, 1054, 0]"
"[3, 90, 1042, 1]"
"[3, 96, 1042, 0]"
"[3, 66, 1015, 0]"
"[3, 85, 1048, 1]"
"[2, 94, 1054, 0]"
"[3, 96, 1048, 1]"
"[3, 95, 1036, 1]"
"[3, 94, 1048, 1]"
"[3, 100, 1036, 1]"
"[2, 100, 1036, 1]"
"[3, 86, 1054, 0]"
"[3, 100, 1048, 1]"
"[3, 85, 1042, 1]"
"[3, 88, 1054, 0]"
"[2, 91, 1033, 2]"
"[2, 75, 1036, 1]"
"[3, 100, 1042, 1]"
"[2, 95, 1048, 1]"
"[1, 100, 1042, 1]"
"[3, 100, 1054, 0]"
"[1, 88, 1009, 0]"
"[2, 75, 1048, 1]"
"[3, 68, 1042, 1]"
"[3, 100, 1042, 1]"
"[3, 75, 1030, 1]"
"[3, 75, 1036, 1]"
"[3, 82, 1048, 1]"
"[3, 91, 1042, 0]"
"[3, 85, 1024, 1]"
"[2, 94, 1042, 1]"
"[3, 88, 1057, 2]"
"[3, 98, 1024, 1]"
"[3, 75, 1018, 1]"
"[3, 90, 1036, 1]"
"[2, 80, 1018, 1]"
"[3, 73, 1030, 0]"
"[3, 82, 1006, 0]"
"[1, 72, 1033, 1]"
"[3, 67, 1105, 2]"
"[3, 83, 1054, 1]"
"[3, 89, 1036, 1]"
"[3, 100, 1042, 1]"
"[3, 98, 1042, 0]"
"[3, 80, 1009, 0]"
"[3, 75, 1048, 0]"
"[1, 86, 1042, 1]"
"[3, 97, 1054, 0]"
"[3, 80, 1054, 0]"
"[3, 86, 1048, 0]"
"[3, 60, 1042, 0]"
"[1, 70, 1021, 0]"
"[2, 100, 1048, 0]"
"[3, 100, 1054, 0]"
"[3, 80, 1042, 0]"
"[2, 94, 1054, 0]"
"[3, 63, 1042, 0]"
"[3, 100, 1054, 0]"
"[3, 97, 1042, 0]"
"[3, 82, 1054, 0]"
"[1, 88, 1054, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1054, 0]"
"[2, 95, 1054, 0]"
"[3, 98, 1054, 0]"
"[1, 100, 1006, 0]"
"[3, 86, 1054, 0]"
"[2, 80, 1033, 0]"
"[3, 98, 1048, 0]"
"[3, 91, 1021, 0]"
"[2, 94, 1054, 0]"
"[3, 97, 1054, 0]"
"[3, 92, 1054, 0]"
"[3, 100, 1054, 0]"
"[3, 80, 1039, 0]"
"[3, 100, 1054, 0]"
"[3, 90, 1054, 0]"
"[2, 72, 1018, 0]"
"[1, 73, 1042, 0]"
"[3, 94, 1054, 0]"
"[3, 98, 1054, 0]"
"[3, 100, 1054, 0]"
"[3, 95, 1054, 0]"
"[1, 88, 1054, 0]"
"[3, 98, 1054, 0]"
"[3, 98, 1039, 0]"
"[3, 87, 1054, 0]"
"[3, 83, 1042, 0]"
"[3, 80, 1048, 0]"
"[1, 72, 1054, 0]"
"[3, 77, 1048, 0]"
"[2, 100, 1048, 0]"
"[3, 86, 1054, 0]"
"[3, 94, 1039, 0]"
"[3, 80, 1024, 0]"
"[3, 100, 1054, 0]"
"[3, 97, 1054, 0]"
"[3, 81, 1054, 0]"
"[3, 82, 1015, 0]"
"[3, 93, 1054, 0]"
"[3, 71, 1018, 0]"
"[3, 74, 1048, 0]"
"[3, 100, 1048, 0]"
"[2, 100, 1054, 0]"
"[3, 94, 1054, 0]"
"[3, 83, 1054, 0]"
"[3, 98, 1054, 0]"
"[3, 86, 1021, 0]"
"[3, 100, 1042, 0]"
"[3, 100, 1054, 0]"
"[3, 64, 1042, 0]"
"[2, 95, 1054, 0]"
"[3, 85, 1006, 0]"
"[3, 87, 1021, 0]"
"[3, 84, 1048, 0]"
"[2, 88, 1042, 0]"
"[3, 81, 1054, 0]"
"[3, 90, 1042, 0]"
"[1, 84, 1024, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1048, 0]"
"[3, 100, 1048, 0]"
"[2, 91, 1030, 0]"
"[2, 83, 1027, 0]"
"[2, 74, 1054, 0]"
"[2, 100, 1039, 0]"
"[3, 92, 1054, 0]"
"[2, 79, 1015, 0]"
"[3, 67, 1006, 0]"
"[2, 90, 1024, 0]"
"[2, 70, 1015, 0]"
"[3, 92, 1054, 0]"
"[3, 68, 1018, 0]"
"[3, 100, 1012, 0]"
"[3, 87, 1054, 0]"
"[3, 82, 1054, 0]"
"[3, 90, 1018, 0]"
"[3, 70, 1009, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1054, 0]"
"[1, 60, 1030, 0]"
"[3, 100, 1054, 0]"
"[3, 86, 1042, 0]"
"[3, 97, 1054, 0]"
"[3, 94, 1054, 0]"
"[3, 100, 1054, 0]"
"[2, 98, 1042, 0]"
"[3, 88, 1054, 0]"
"[1, 100, 1054, 0]"
"[2, 67, 1006, 0]"
"[3, 100, 1048, 0]"
"[3, 100, 1054, 0]"
"[3, 94, 1048, 0]"
"[2, 96, 1036, 1]"
"[3, 80, 1048, 0]"
"[3, 100, 1030, 0]"
"[3, 100, 1045, 0]"
"[3, 96, 1054, 0]"
"[3, 95, 1054, 0]"
"[1, 80, 1012, 0]"
"[3, 80, 1054, 0]"
"[3, 91, 1021, 0]"
"[3, 98, 1048, 0]"
"[3, 100, 1048, 0]"
"[2, 100, 1006, 0]"
"[3, 82, 1054, 0]"
"[3, 100, 1054, 0]"
"[2, 86, 1021, 0]"
"[3, 85, 1030, 0]"
"[3, 80, 1054, 0]"
"[3, 95, 1048, 0]"
"[1, 73, 1039, 0]"
"[3, 100, 1027, 0]"
"[3, 95, 1054, 0]"
"[3, 88, 1054, 0]"
"[3, 86, 1048, 0]"
"[3, 100, 1048, 0]"
"[3, 100, 1054, 0]"
"[2, 86, 1054, 0]"
"[3, 90, 1045, 0]"
"[3, 94, 1054, 0]"
"[3, 97, 1048, 0]"
"[2, 96, 1021, 0]"
"[3, 96, 1054, 0]"
"[2, 84, 1024, 0]"
"[3, 94, 1054, 0]"
"[3, 70, 1054, 0]"
"[3, 100, 1054, 0]"
"[3, 81, 1030, 0]"
"[3, 68, 1030, 0]"
"[3, 90, 1048, 0]"
"[2, 89, 1018, 0]"
"[3, 74, 1042, 0]"
"[2, 85, 1048, 0]"
"[2, 100, 1030, 0]"
"[2, 81, 1048, 0]"
"[3, 100, 1054, 0]"
"[3, 90, 1054, 0]"
"[3, 72, 1021, 0]"
"[3, 70, 1006, 0]"
"[1, 80, 1042, 0]"
"[3, 100, 1054, 0]"
"[3, 75, 1048, 0]"
"[3, 95, 1054, 0]"
"[2, 80, 1039, 0]"
"[2, 86, 1042, 0]"
"[3, 100, 1048, 0]"
"[3, 88, 1054, 0]"
"[3, 76, 1054, 0]"
"[3, 80, 1030, 0]"
"[3, 73, 1006, 0]"
"[3, 90, 1048, 0]"
"[2, 92, 1042, 0]"
"[3, 100, 1048, 0]"
"[3, 87, 1048, 0]"
"[2, 88, 1054, 0]"
"[3, 90, 1048, 0]"
"[3, 85, 1036, 0]"
"[3, 88, 1054, 0]"
"[3, 95, 1054, 0]"
"[3, 100, 1054, 0]"
"[3, 96, 1054, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1054, 0]"
"[2, 88, 1048, 0]"
"[3, 68, 1012, 0]"
"[3, 93, 1117, 2]"
"[3, 100, 1036, 0]"
"[3, 96, 1042, 0]"
"[3, 100, 1054, 0]"
"[1, 86, 1039, 0]"
"[3, 80, 1033, 0]"
"[3, 73, 1051, 0]"
"[3, 74, 1033, 0]"
"[3, 100, 1036, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1006, 1]"
"[2, 93, 1015, 0]"
"[3, 100, 1054, 0]"
"[3, 100, 1021, 0]"
"[2, 44, 1024, 2]"
"[2, 99, 1015, 0]"
"[2, 96, 1045, 1]"
"[3, 82, 1042, 0]"
"[3, 92, 1048, 0]"
"[3, 81, 1054, 0]"
"[3, 60, 1006, 0]"
"[3, 100, 1054, 0]"
"[3, 77, 1054, 0]"
"[3, 66, 1006, 0]"
"[3, 98, 1018, 0]"
"[3, 86, 1042, 1]"
"[2, 86, 1041, 0]"
"[3, 100, 1047, 0]"
"[3, 90, 1053, 0]"
"[3, 78, 1053, 0]"
"[3, 100, 1047, 0]"
"[3, 100, 1053, 0]"
"[2, 100, 1003, 0]"
"[3, 70, 1032, 0]"
"[3, 65, 1053, 0]"
"[3, 100, 1053, 0]"
"[3, 87, 1021, 0]"
"[3, 100, 1053, 0]"
"[2, 100, 1053, 0]"
"[2, 99, 1038, 0]"
"[3, 100, 1053, 0]"
"[3, 100, 1053, 0]"
"[2, 83, 1053, 0]"
"[2, 80, 1032, 0]"
"[3, 98, 1053, 0]"
"[3, 84, 1050, 0]"
"[3, 74, 1053, 0]"
"[2, 100, 1053, 0]"
"[3, 100, 1053, 0]"
"[3, 95, 1041, 0]"
"[2, 88, 1003, 0]"
"[3, 88, 1038, 0]"
"[3, 94, 1053, 0]"
"[3, 84, 1053, 0]"
"[2, 72, 1038, 0]"
"[3, 75, 1044, 0]"
"[3, 88, 1053, 0]"
"[3, 96, 1053, 0]"
"[2, 98, 1047, 0]"
"[3, 75, 1020, 0]"
"[3, 73, 1053, 0]"
"[3, 74, 1003, 0]"
"[2, 80, 1006, 0]"
"[3, 97, 1047, 0]"
"[3, 84, 1053, 0]"
"[3, 98, 1053, 0]"
"[3, 76, 1053, 0]"
"[2, 100, 1026, 0]"
"[3, 90, 1053, 0]"
"[3, 80, 1053, 0]"
"[3, 81, 1053, 0]"
"[3, 100, 1053, 0]"
"[3, 98, 1053, 0]"
"[3, 100, 1053, 0]"
"[3, 81, 1053, 0]"
"[3, 100, 1033, 0]"
"[3, 76, 1035, 0]"
"[3, 76, 1053, 0]"
"[3, 75, 1008, 0]"
"[3, 95, 1053, 0]"
"[2, 83, 1053, 0]"
"[3, 94, 1041, 0]"
"[1, 100, 1053, 0]"
"[2, 100, 1047, 0]"
"[2, 91, 1053, 0]"
"[3, 73, 1047, 0]"
"[3, 96, 1047, 0]"
"[3, 100, 1041, 0]"
"[3, 68, 1014, 0]"
"[3, 100, 1053, 0]"
"[3, 100, 1053, 0]"
"[3, 85, 1044, 0]"
"[3, 98, 1053, 0]"
"[3, 100, 1045, 0]"
"[3, 100, 1045, 0]"
"[3, 100, 1053, 0]"
"[3, 75, 1038, 0]"
"[3, 100, 1053, 0]"
"[3, 100, 1053, 0]"
"[3, 85, 1053, 0]"
"[3, 95, 1053, 0]"
"[2, 90, 1047, 0]"
"[3, 96, 1053, 0]"
"[3, 80, 1039, 0]"
"[3, 86, 1035, 0]"
"[3, 80, 1032, 0]"
"[3, 100, 1053, 0]"
"[3, 72, 1009, 0]"
"[3, 83, 1053, 0]"
"[3, 80, 1014, 0]"
"[2, 86, 1035, 0]"
"[3, 70, 1035, 0]"
"[3, 80, 1018, 0]"
"[2, 94, 1038, 0]"
"[3, 100, 1053, 0]"
"[3, 85, 1053, 0]"
"[3, 100, 1050, 0]"
"[2, 90, 1038, 0]"
"[3, 98, 1053, 0]"
"[3, 100, 1053, 0]"
"[3, 80, 1029, 0]"
"[3, 88, 1035, 0]"
"[3, 80, 1032, 0]"
"[3, 60, 1003, 0]"
"[2, 87, 1053, 0]"
"[3, 70, 1009, 0]"
"[2, 85, 1047, 0]"
"[2, 75, 1035, 0]"
"[2, 87, 1020, 0]"
"[3, 84, 1032, 0]"
"[3, 85, 1032, 0]"
"[2, 81, 1047, 0]"
"[3, 74, 1041, 0]"
"[3, 99, 1053, 0]"
"[3, 100, 1053, 0]"
"[3, 89, 1050, 0]"
"[3, 94, 1053, 0]"
"[3, 100, 1039, 0]"
"[2, 70, 1021, 0]"
"[3, 100, 1053, 0]"
"[3, 72, 1053, 0]"
"[3, 87, 1053, 0]"
"[3, 81, 1044, 0]"
"[3, 83, 1038, 0]"
"[3, 78, 1035, 0]"
"[3, 100, 1050, 0]"
"[1, 80, 1017, 0]"
"[3, 100, 1053, 0]"
"[3, 80, 1036, 0]"
"[3, 77, 1053, 0]"
"[3, 76, 1003, 0]"
"[1, 81, 1041, 0]"
"[3, 82, 1017, 0]"
"[3, 100, 1053, 0]"
"[3, 95, 1044, 0]"
"[3, 67, 1039, 0]"
"[3, 76, 1035, 0]"
"[3, 72, 1026, 0]"
"[3, 97, 1047, 0]"
"[3, 97, 1047, 0]"
"[3, 96, 1053, 0]"
"[3, 75, 1014, 0]"
"[3, 95, 1053, 0]"
"[3, 100, 1053, 0]"
"[3, 85, 1053, 0]"
"[3, 78, 1009, 0]"
"[1, 100, 1041, 0]"
"[3, 82, 1032, 0]"
"[3, 70, 1023, 0]"
"[2, 100, 1026, 0]"
"[3, 73, 1011, 0]"
"[3, 88, 1018, 0]"
"[3, 80, 1041, 0]"
"[3, 66, 1012, 0]"
"[3, 90, 1053, 0]"
"[3, 86, 1024, 0]"
"[2, 80, 1027, 0]"
"[3, 77, 1053, 0]"
"[3, 76, 1027, 0]"
"[2, 88, 1044, 0]"
"[3, 96, 1053, 0]"
"[3, 100, 1053, 0]"
"[3, 96, 1053, 0]"
"[2, 80, 1008, 0]"
"[3, 86, 1026, 0]"
"[2, 90, 1033, 0]"
"[2, 75, 1026, 0]"
"[3, 83, 1045, 0]"
"[3, 100, 1053, 0]"
"[3, 73, 1047, 0]"
"[3, 80, 1053, 0]"
"[2, 85, 1041, 0]"
"[3, 72, 1020, 0]"
"[3, 96, 1011, 0]"
"[3, 82, 1047, 0]"
"[2, 100, 1047, 0]"
"[3, 84, 1035, 0]"
"[3, 70, 1032, 0]"
"[3, 78, 1032, 0]"
"[3, 88, 1047, 0]"
"[3, 98, 1047, 0]"
"[3, 98, 1096, 0]"
"[1, 75, 1008, 0]"
"[3, 83, 1017, 0]"
"[2, 74, 1008, 0]"
"[2, 89, 1033, 0]"
"[3, 90, 1027, 0]"
"[3, 96, 1053, 0]"
"[2, 100, 1053, 0]"
"[3, 80, 1038, 0]"
"[3, 75, 1050, 0]"
"[1, 88, 1035, 0]"
"[3, 45, 1035, 0]"
"[2, 94, 1020, 0]"
"[2, 100, 1003, 0]"
"[3, 62, 1017, 0]"
"[3, 93, 1041, 0]"
"[2, 86, 1038, 0]"
"[3, 98, 1038, 0]"
"[2, 100, 1051, 0]"
"[3, 78, 1050, 0]"
"[3, 97, 1032, 0]"
"[3, 76, 1051, 0]"
"[3, 75, 1015, 0]"
"[3, 73, 1053, 0]"
"[3, 96, 1021, 0]"
"[3, 62, 1033, 0]"
"[3, 72, 1029, 0]"
"[2, 100, 1009, 0]"
"[3, 65, 1081, 0]"
"[2, 91, 1051, 0]"
"[3, 85, 1063, 0]"
"[3, 78, 1033, 0]"
"[3, 75, 1030, 0]"
"[3, 77, 1006, 0]"
"[3, 95, 1026, 0]"
"[3, 100, 1035, 0]"
"[2, 88, 1008, 0]"
"[3, 100, 1041, 0]"
"[3, 80, 1011, 0]"
"[3, 100, 1035, 0]"
"[3, 97, 1029, 0]"
"[3, 90, 1035, 0]"
"[3, 100, 1038, 0]"
"[3, 94, 1035, 0]"
"[3, 65, 1032, 0]"
"[3, 94, 1026, 0]"
"[3, 100, 1035, 0]"
"[3, 100, 1032, 0]"
"[3, 87, 1035, 0]"
"[3, 97, 1035, 0]"
"[3, 100, 1032, 0]"
"[3, 100, 1035, 0]"
"[3, 100, 1035, 0]"
"[3, 100, 1038, 0]"
"[3, 81, 1026, 0]"
"[3, 80, 1026, 0]"
"[3, 100, 1035, 0]"
"[3, 93, 1035, 0]"
"[3, 80, 1026, 0]"
"[3, 98, 1035, 0]"
"[2, 72, 1008, 0]"
"[3, 98, 1035, 0]"
"[3, 89, 1035, 0]"
"[3, 75, 1035, 0]"
"[2, 100, 1035, 0]"
"[3, 100, 1035, 0]"
"[3, 87, 1032, 0]"
"[2, 85, 1011, 0]"
"[3, 86, 1035, 0]"
"[3, 91, 1035, 0]"
"[3, 80, 1035, 0]"
"[3, 86, 1026, 0]"
"[3, 96, 1035, 0]"
"[2, 100, 1041, 0]"
"[3, 100, 1026, 0]"
"[1, 66, 1020, 0]"
"[3, 86, 1035, 0]"
"[3, 100, 1035, 0]"
"[3, 79, 1014, 0]"
"[3, 100, 1032, 0]"
"[3, 75, 1035, 0]"
"[3, 100, 1032, 0]"
"[3, 96, 1032, 0]"
"[3, 91, 1032, 0]"
"[3, 87, 1032, 0]"
"[3, 98, 1035, 0]"
"[3, 100, 1035, 0]"
"[3, 98, 1041, 0]"
"[3, 95, 1035, 0]"
"[3, 100, 1035, 0]"
"[3, 80, 1032, 0]"
"[3, 90, 1023, 0]"
"[3, 80, 1026, 0]"
"[3, 75, 1008, 0]"
"[3, 89, 1035, 0]"
"[3, 89, 1035, 0]"
"[1, 86, 1017, 0]"
"[3, 96, 1032, 0]"
"[2, 100, 1017, 0]"
"[3, 84, 1017, 0]"
"[3, 82, 1026, 0]"
"[1, 94, 1026, 0]"
"[3, 92, 1011, 0]"
"[3, 88, 1032, 0]"
"[2, 90, 1035, 0]"
"[3, 100, 1035, 0]"
"[2, 82, 1011, 0]"
"[3, 100, 1041, 0]"
"[3, 100, 1026, 0]"
"[3, 85, 1029, 0]"
"[2, 100, 1035, 0]"
"[3, 100, 1035, 0]"
"[3, 90, 1026, 0]"
"[3, 100, 1026, 0]"
"[3, 100, 1017, 0]"
"[3, 98, 1032, 0]"
"[2, 86, 1017, 0]"
"[3, 95, 1035, 0]"
"[3, 68, 1035, 0]"
"[3, 76, 1020, 0]"
"[3, 82, 1035, 0]"
"[3, 95, 1035, 0]"
"[3, 100, 1035, 0]"
"[3, 86, 1011, 0]"
"[2, 93, 1029, 0]"
"[2, 95, 1008, 0]"
"[3, 78, 1029, 0]"
"[3, 83, 1035, 0]"
"[3, 73, 1035, 0]"
"[2, 87, 1035, 0]"
"[3, 90, 1035, 0]"
"[3, 100, 1032, 0]"
"[3, 84, 1029, 0]"
"[3, 85, 1035, 0]"
"[3, 92, 1026, 0]"
"[1, 91, 1026, 0]"
"[3, 88, 1029, 0]"
"[3, 64, 1026, 0]"
"[3, 67, 1035, 0]"
"[3, 83, 1035, 0]"
"[2, 100, 1017, 0]"
"[3, 84, 1035, 0]"
"[3, 83, 1017, 0]"
"[3, 98, 1023, 0]"
"[3, 87, 1035, 0]"
"[3, 98, 1003, 0]"
"[3, 95, 1035, 0]"
"[3, 100, 1032, 0]"
"[3, 65, 1017, 0]"
"[2, 98, 1008, 0]"
"[3, 98, 1026, 0]"
"[2, 100, 1017, 0]"
"[2, 100, 1026, 0]"
"[3, 100, 1035, 0]"
"[3, 80, 1008, 0]"
"[2, 100, 1026, 0]"
"[2, 100, 1035, 0]"
"[3, 82, 1026, 0]"
"[3, 96, 1023, 0]"
"[3, 70, 1011, 0]"
"[3, 72, 1017, 0]"
"[2, 95, 1023, 0]"
"[3, 96, 1023, 0]"
"[3, 80, 1008, 0]"
"[1, 74, 1035, 0]"
"[2, 80, 1017, 0]"
"[3, 81, 1017, 0]"
"[2, 68, 1020, 0]"
"[2, 81, 1011, 0]"
"[3, 80, 1017, 0]"
"[3, 94, 1035, 0]"
"[2, 86, 1014, 0]"
"[2, 98, 1035, 0]"
"[3, 83, 1011, 0]"
"[3, 75, 1035, 0]"
"[3, 80, 1017, 0]"
"[3, 75, 1014, 0]"
"[2, 98, 1026, 0]"
"[3, 94, 1026, 0]"
"[3, 84, 1023, 0]"
"[3, 86, 1035, 0]"
"[3, 83, 1011, 0]"
"[2, 100, 1020, 0]"
"[3, 74, 1020, 0]"
"[3, 94, 1026, 0]"
"[3, 86, 1017, 0]"
"[3, 90, 1032, 0]"
"[2, 80, 1020, 0]"
"[3, 90, 1035, 0]"
"[3, 100, 1035, 0]"
"[3, 77, 1011, 0]"
"[2, 90, 1038, 0]"
"[2, 93, 1008, 0]"
"[1, 97, 1035, 0]"
"[2, 48, 1102, 0]"
"[3, 71, 1008, 0]"
"[2, 89, 1023, 0]"
"[3, 96, 1035, 0]"
"[3, 100, 1035, 0]"
"[3, 88, 1029, 0]"
"[3, 64, 1008, 0]"
"[2, 42, 1051, 0]"
"[3, 93, 1035, 0]"
"[3, 97, 1035, 0]"
"[1, 100, 1017, 0]"
"[2, 79, 1003, 0]"
"[3, 94, 1009, 0]"
"[3, 86, 1035, 0]"
"[1, 85, 1008, 0]"
"[3, 100, 1026, 0]"
"[3, 88, 1011, 0]"
"[3, 74, 1026, 0]"
"[2, 97, 1002, 0]"
"[3, 73, 1008, 0]"
"[2, 94, 1006, 0]"
"[3, 93, 1009, 0]"
"[3, 77, 1006, 0]"
"[3, 80, 1011, 0]"
"[3, 96, 1024, 0]"
"[3, 97, 1051, 0]"
"[2, 82, 1030, 3]"
"[3, 100, 1051, 0]"
"[2, 86, 1036, 2]"
"[3, 100, 1045, 2]"
"[3, 100, 1057, 0]"
"[3, 96, 1057, 0]"
"[3, 100, 1057, 0]"
"[2, 94, 1051, 1]"
"[2, 87, 1045, 3]"
"[2, 94, 1051, 0]"
"[3, 60, 1018, 0]"
"[2, 98, 1051, 0]"
"[3, 66, 1030, 3]"
"[3, 100, 1036, 3]"
"[2, 90, 1030, 2]"
"[2, 87, 1033, 3]"
"[2, 86, 1045, 2]"
"[2, 95, 1024, 3]"
"[3, 88, 1057, 0]"
"[3, 97, 1045, 3]"
"[3, 86, 1045, 3]"
"[2, 92, 1030, 3]"
"[3, 70, 1030, 3]"
"[2, 87, 1021, 3]"
"[3, 100, 1057, 0]"
"[2, 73, 1027, 3]"
"[2, 76, 1045, 3]"
"[2, 91, 1039, 2]"
"[2, 90, 1018, 0]"
"[2, 98, 1024, 0]"
"[3, 75, 1006, 0]"
"[3, 85, 1051, 3]"
"[3, 87, 1015, 3]"
"[3, 100, 1057, 0]"
"[3, 87, 1036, 2]"
"[3, 83, 1030, 2]"
"[3, 77, 1006, 3]"
"[2, 90, 1024, 3]"
"[3, 100, 1051, 0]"
"[3, 67, 1015, 2]"
"[2, 82, 1042, 2]"
"[3, 100, 1051, 1]"
"[3, 90, 1036, 2]"
"[3, 85, 1051, 0]"
"[2, 94, 1051, 0]"
"[2, 100, 1051, 0]"
"[3, 65, 1006, 2]"
"[3, 70, 1015, 0]"
"[3, 97, 1030, 2]"
"[3, 97, 1057, 1]"
"[3, 86, 1024, 2]"
"[3, 97, 1042, 1]"
"[3, 100, 1042, 0]"
"[3, 93, 1039, 2]"
"[3, 90, 1042, 0]"
"[3, 96, 1042, 2]"
"[3, 100, 1048, 0]"
"[3, 94, 1042, 1]"
